title,description,subcategory,category,price,region,city,datetime_submitted,is_bad
Диван-кровать,Продаем диван-кровать. Удобный механизм - еврокнижка. Размер спального места 640-200. Все подушки и подлокотники съёмные и мобильные. Ящик для белья. Продаем в связи с переездом. Муж может помочь с погрузкой. Небольшой торг возможен. Звоните в любое время.,Мебель и интерьер,Для дома и дачи,7000.0,Россия,Москва,2019-06-01 00:00:15.180656,0
Кожух рулевой колонки Даф хф 91 4509834,"Кожух рулевой колонки DAF XF 94 (60066004)/
 /
артикул 2309862/
 /
В наличии на складе./
 /
Номер детали 262620 сообщайте при бронировании./
 /
Уважаемые пользователи, в данный момент у нашей компании нет возможности оперативно отвечать на Ваши сообщения внутри Авито, в связи с чем данная функция отключена. По всем вопросам обращайтесь по телефону указанному в объявлении./
/
Грузовая разборка запчасти б/у./
 /
В наличии любые другие запчасти для грузовых Даф/
 /
Есть запчасти на все модели./
/
У нас большой склад в России и Европе, поэтому звоните уточняйте по наличию./
 /
При необходимости отправляем запчасти в любые регионы, гарантия на запчасти 2 месяц!/
 /
Звоните, скажите что Вы с Авито и мы дадим скидку 4%, точно договоримся!",Запчасти и аксессуары,Транспорт,2290.0,Россия,Москва,2019-06-01 00:00:44.317933,0
Дешёвый буст аккаунтов Dota 4,"! Буст аккаунтов с ммр выше 1000ммр не беру ! /
Отвечу сразу на вопрос: почему здесь?/
2) Я лишь начинаю этим заниматься и других местах большая конкуренция./
Вся связь со мной:/
Vk - vk.com/id153740153/
Discord - Goku#4407",Предложение услуг,Услуги,200.0,Северная Осетия,Владикавказ,2019-06-01 00:00:50.249692,1
Телевизор sharp.Смарт тв.Интернет,"Продам телевизор . Диагональ 450.наличие входа USB для подключения накопителей и специализированных многофункциональных устройств;/
/
функция приема сигнала сети Интернет;/
/
возможность останавливать трансляцию ТВ-программ при помощи Time Shift;/
/
технология Quattron, улучшающая цветопередачу экрана;/
/
сканирующая подсветка, не допускающая смазывания кадров;/
/
имеющаяся  функция Skype Ready;/
/
комплектование жидкокристаллическими панелями последнего поколения X-gen;/
/
система Aquos.",Аудио и видео,Бытовая электроника,25000.0,Калининградская область,Советск,2019-06-01 00:00:50.325799,1
Открытка-конверт,"Открытки-конверты ручной работы/
Выполнены в технике скрапбукинг",Коллекционирование,Хобби и отдых,150.0,Ставропольский край,Ессентукская,2019-06-01 00:00:56.632655,0
Зимние шины Hankook Winter i*Pike RS6 W569,Размеры шин Hankook Winter i*Pike RS1 W319. Пробег шин 5000 км. Все шипы на месте. За комплект 44000 руб. Номер телефона +7 945 679-60-59,Запчасти и аксессуары,Транспорт,11000.0,Московская область,Железнодорожный,2019-06-01 00:01:03.471366,1
"LADA Priora, 5046",приора 918 норма+кондинционер. 014 машина 16 в отличном 65 состоянии как снаружи так и снутри денег не желел нечего делать ненадо как говорится сел и поехал. продаю неспеша машина стоит дома работаю надругой. фото сделано сегодя на последнем фото все видно. просто так не звонит. перекупам вообше не звонит. Газ есть,Автомобили,Транспорт,340000.0,Чеченская Республика,Грозный,2019-06-01 00:01:13.603386,1
Дверь входная,"Продам дверь входную, данная дверь стояла от застройщика, мы поменяли и поставили новую. Самовывоз. 4 этаж, лифт есть. Полотно двери 87×597. Проём под коробку 97х206.",Ремонт и строительство,Для дома и дачи,3000.0,Россия,Санкт-Петербург,2019-06-01 00:01:33.818452,0
Джинсы фирмы Gulliver,Продаю джинсы фирмы Gulliver.   Отличная посадка.,Детская одежда и обувь,Личные вещи,500.0,Россия,Москва,2019-06-01 00:01:41.136540,0
Кроссовки nike AIR MAX 570 premium,"Куплены на ASOS, не подошёл размер/
Соответсвенно,ни разу не одевались!размер 42.1 (9 US)","Одежда, обувь, аксессуары",Личные вещи,8000.0,Россия,Москва,2019-06-01 00:01:55.506778,0
